Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 07:00:00,09/01/13 08:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 07:00:00,09/01/13 08:00:00,29
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 07:00:00,09/01/13 08:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 07:00:00,09/01/13 08:00:00,1032
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 08:00:00,09/01/13 09:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 08:00:00,09/01/13 09:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 08:00:00,09/01/13 09:00:00,33
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 08:00:00,09/01/13 09:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 08:00:00,09/01/13 09:00:00,3462
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 08:00:00,09/01/13 09:00:00,2052
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 09:00:00,09/01/13 10:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 09:00:00,09/01/13 10:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 09:00:00,09/01/13 10:00:00,50
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 09:00:00,09/01/13 10:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 09:00:00,09/01/13 10:00:00,2458
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 09:00:00,09/01/13 10:00:00,1184
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 10:00:00,09/01/13 11:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 10:00:00,09/01/13 11:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 10:00:00,09/01/13 11:00:00,39
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 10:00:00,09/01/13 11:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 10:00:00,09/01/13 11:00:00,2085
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 10:00:00,09/01/13 11:00:00,960
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 11:00:00,09/01/13 12:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 11:00:00,09/01/13 12:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 11:00:00,09/01/13 12:00:00,39
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 11:00:00,09/01/13 12:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 11:00:00,09/01/13 12:00:00,1920
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 11:00:00,09/01/13 12:00:00,1216
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 12:00:00,09/01/13 13:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 12:00:00,09/01/13 13:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 12:00:00,09/01/13 13:00:00,24
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 12:00:00,09/01/13 13:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 12:00:00,09/01/13 13:00:00,2276
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 12:00:00,09/01/13 13:00:00,988
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 13:00:00,09/01/13 14:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 13:00:00,09/01/13 14:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 13:00:00,09/01/13 14:00:00,36
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 13:00:00,09/01/13 14:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 13:00:00,09/01/13 14:00:00,2098
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 13:00:00,09/01/13 14:00:00,1064
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 14:00:00,09/01/13 15:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 14:00:00,09/01/13 15:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 14:00:00,09/01/13 15:00:00,33
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 14:00:00,09/01/13 15:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 14:00:00,09/01/13 15:00:00,1720
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 14:00:00,09/01/13 15:00:00,1128
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 15:00:00,09/01/13 16:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 15:00:00,09/01/13 16:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 15:00:00,09/01/13 16:00:00,38
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 15:00:00,09/01/13 16:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 15:00:00,09/01/13 16:00:00,1960
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 15:00:00,09/01/13 16:00:00,912
AmazonEC2,PublicIP-In,USW1-SAE1-AWS-In-Bytes,,09/01/13 16:00:00,09/01/13 17:00:00,44
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 16:00:00,09/01/13 17:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 16:00:00,09/01/13 17:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 16:00:00,09/01/13 17:00:00,57
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 16:00:00,09/01/13 17:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 16:00:00,09/01/13 17:00:00,7652
